ticker,RMSE,MAE,MAPE,MedianAE,MaxError,R2
002630_오리엔트바이오,872.8007790935492,662.0609375,60.42183493238104,502.7064208984373,1922.905029296875,-8.762988267914073
008600_윌비스,72.77042889448117,49.17570556640624,7.651618877265026,44.076904296875,282.51947021484364,0.6400577985298266
009415_태영건설우,5308.430540743893,3807.661306152344,54.40400891517335,2639.5341796875,14920.80810546875,-10.099059416553086
009620_삼보산업,380.53321233048723,296.3689453125,16.253085014587253,228.5501708984375,945.005126953125,0.6534807470525286
010770_평화홀딩스,1928.1833304795055,1504.118798828125,18.088360388333545,1239.083984375,5134.8720703125,0.3720972399849616
014160_대영포장,212.26270722618972,170.94642578125,11.99151464933733,108.089599609375,615.80810546875,-0.24923632186719824
025750_한솔홈데코,68.58495282153297,57.795808105468744,7.654848396164855,54.01116943359375,155.61065673828125,-0.8076611150303208
042940_상지건설,9099.000311609645,7298.690776367188,30.376353737745077,5382.3017578125,18318.421875000007,0.335873248963529
052400_코나아이,17715.759323177004,14432.669296875,26.98273678236421,10027.82421875,38079.140625,-1.5039782128001873
053580_웹케시,4122.97284687233,3507.107265625,19.65223416141577,2708.150390625,7776.443359375,-1.13326071782152
090080_평화산업,293.3836204172789,233.582373046875,16.77082854015913,205.0413818359375,659.1552734375,-0.17404253359121635
137940_넥스트아이,483.07325658346986,394.10835693359377,82.5166072072739,345.39312744140625,811.798583984375,-3.746001835806375
389140_포바이포,7402.2254190466365,7005.0584765625,31.86122592846541,6193.205078125,12299.112304687504,-3.7900862376238065
