후보,종목명,키워드
윤석열,NE능률,"{'좌빠들': 2, '주가조작': 352, '체포하라': 2, '엄벌': 2, '윤핵관들': 5, '병역비리': 6, '부정부패': 15, '정치검찰': 3, '사퇴': 102, '파렴치': 9, '적폐': 59, '똘마니들': 2, '정봉주': 2, '신천지': 348, '나와라': 14, '내부고발자': 7, '정신차려라': 8, '특검': 127, '탈당': 11, '이명박': 46, '대죄': 5, '종북': 4, '폭로': 49, '뇌물수수': 12, '여론조작': 49, '규탄': 23, '부정선거': 96, '문죄인': 26, '병역기피': 9, '윤석렬': 180, '무고죄': 4, '정치자금': 44, '낙마': 8, '정치검사': 2, '단죄': 2, '사임': 4, '내부고발': 2, '제명': 2, '박연차': 3, '박영수': 124, '숙청': 4, '이재용': 4, '이재명': 3150, '악질': 6, '출국금지': 3, '조사해': 3, '죄명': 225, '탄핵': 40, '검찰소환': 13, '손석희': 7}"
윤석열,노루홀딩스,"{'김건희': 8, '윤석열': 12, '죄명': 3, '관련': 4, '녹취록': 3, '폐인': 2, '도시재생': 2, '개발': 3, '누가': 2, '세상': 3, '작년': 3, '특징': 2, '언론': 2, '야당': 2, '답글': 3, '발언': 4, '안철수': 5, '추미애': 2, '삭제': 3, '최초': 2, '후원': 2, '광화문': 2, '대장동': 2, '교체': 2, '콘텐츠': 2, '질문': 2, '결과': 2, '일제': 2, '대화': 3, '주소': 2, '파산': 3, '대박': 2, '언론사': 3, '일화': 2, '양산': 2, '전시회': 2, '번주': 2, '해결': 3, '소통': 2, '코로나': 5, '세계': 3, '게시': 3, '국민': 3, '어디': 2, '코바': 2, '배당': 2, '사멸': 5, '최대': 3, '페인트': 5, '상승': 2}"
윤석열,덕성,"{'똘마니들': 2, '윤핵관들': 8, '횡설수설': 4, '진중권': 9, '독불장군': 3, '내부고발자': 4, '지랄병': 2, '갤럽': 15, '애국자': 3, '찌랄병': 2, '나꼼수': 25, '동문서답': 10, '자유게시판': 2, '답글': 523, '종북': 10, '남탓': 2, '정신차려라': 17, '노무현': 59, '무능력자': 2, '죄빠들': 2, '뻘건불': 2, '한일합병': 5, '글좀': 2, '병역기피': 2, '자살': 27, '오승렬': 3, '쫄지들': 3, '이명박정부': 3, '윤빠들': 12, '거짓말쟁이': 4, '녹취좀': 2, '개한민국': 8, '윤석렬': 546, '불나방': 2, '주식양도세': 4, '답변서': 2, '빈소': 8, '망나니': 7, '정신병원': 8, '이재명': 1453, '좌좀': 2, '지랄': 25, '병역비리': 13, '조선임전보국단': 2, '삽질': 6, '유시민': 6, '이명박': 64, '이중과세': 3, '문죄인': 10, '좌빨': 74}"
윤석열,삼부토건,"{'거래량봐': 2, '악재떳': 2, '물량뺏기': 2, '급락': 24, '급등': 120, '공매도': 11, '격입니': 4, '미국증시': 3, '개빠가들': 2, '폭락': 98, '스팸과다': 2, '정신차려라': 5, '이중과세': 4, '지랄병': 2, '폭등': 44, '자살': 10, '관망': 9, '뒷봐주': 2, '나오니': 9, '유찰': 2, '기절': 4, '드가자': 9, '뉴스타파': 22, '거래량': 82, '하락': 196, '어나니머스': 2, '블록딜': 3, '낙마': 4, '나락가': 10, '폐지': 36, '희소식': 2, '폭주': 3, '사퇴': 6, '썩렬': 5, '불나방': 7, '나이아가라': 3, '각주': 14, '떡값': 5, '확전': 4, '폭제': 15, '불가피': 3, '시초': 103, '추락': 3, '난가': 2, '풀리겄다': 2, '개미지옥': 8, '량봐': 2, '픽을줘': 2, '개나락': 2, '폭팔': 2}"
윤석열,서연,"{'똘마니들': 6, '이명박': 29, '종북': 8, '이중과세': 2, '따라쟁': 2, '이재명': 400, '삿대질': 3, '도박장': 2, '사퇴': 22, '급공무원': 3, '한일합병': 5, '합방': 2, '남침': 2, '낙마': 6, '승진': 2, '지청장': 3, '조원진': 6, '성지글': 4, '진중권': 4, '나와라': 2, '조선임전보국단': 3, '좌좀': 5, '중단': 8, '동문서답': 2, '대기발령': 2, '격화': 2, '출병': 17, '불공정': 2, '무상증자': 5, '사임': 2, '윤석렬': 59, '전두환': 12, '금식': 2, '설놈': 3, '자살': 5, '정신차려라': 2, '좌빨': 11, '을사오적': 4, '종목': 32, '적폐': 12, '친러파': 4, '이회창': 6, '친일': 34, '사면초가': 3, '하루아침': 2, '연행': 2, '이건희': 3, '나경원': 6, '애국': 2, '서명': 5}"
윤석열,신원종합개발,"{'급락': 10, '급등': 23, '윤핵관들': 2, '공매도': 15, '관망': 3, '하락': 25, '불참': 4, '이명박': 4, '사퇴': 5, '윤석렬': 11, '나와라': 2, '혐중': 4, '적폐': 8, '중단': 6, '퇴각': 2, '단식': 6, '불가피': 5, '가라': 8, '폐지': 15, '뉴스타파': 3, '구독': 5, '탈당': 2, '철회': 4, '제명': 2, '폭등': 6, '가즈': 9, '이재명': 136, '종목': 55, '갤럽': 4, '매수': 32, '금지': 3, '지하도': 4, '윤핵관': 2, '당분간': 6, '꼴등': 2, '정지': 3, '스태그플레이션': 4, '폭락': 12, '비난': 2, '윤썩열': 8, '베팅': 6, '출동': 4, '합류': 3, '국짐': 3, '추미애': 2, '건설': 181, '똥줄': 2, '분노': 2, '농성': 6, '발좀': 2}"
이재명,상지건설,"{'급락': 2, '꼭짓점': 2, '하락': 6, '단행': 2, '주식': 11, '거래량': 2, '주주': 7, '중앙디앤엠': 32, '출발': 2, '동전주': 2, '매립': 4, '주가': 10, '진출': 2, '자공시': 2, '역시': 3, '쓰레기': 3, '권면': 4, '실적': 5, '룸쪽': 2, '라나': 2, '컴퍼니': 6, '증설': 2, '차트': 2, '폐기물': 4, '삿음': 2, '매수': 6, '전환사채': 3, '맥락': 2, '취득': 4, '정리': 3, '포트폴리오': 2, '언제': 2, '관리종목': 7, '단타': 2, '휘하': 2, '시작': 2, '인수': 6, '의존': 4, '물량': 9, '성업': 2, '식수': 2, '분할': 3, '장외': 2, '조만간': 2, '우려': 4, '매각': 2, '능주': 2, '지속': 2, '유상증자': 4, '누적': 2}"
이재명,오리엔트바이오,"{'발주': 2, '무식': 4, '종목': 18, '급등': 5, '압독적': 2, '사퇴': 2, '무당파': 2, '이재명': 85, '비난': 3, '하락': 4, '세력': 2, '답글': 22, '지랄': 4, '윤석렬': 2, '분열': 2, '좌파': 2, '뉴럴링크': 5, '폐지': 4, '유시민': 2, '건설': 2, '허경영': 93, '매수': 28, '박빙': 3, '생중계': 3, '물량': 3, '득표': 2, '빌빌대냠': 2, '타이밍': 3, '망은': 3, '악플': 2, '댓글': 3, '조롱': 2, '링크': 6, '제안': 2, '참고': 3, '마감': 2, '폭락': 18, '화이팅': 8, '선동': 3, '지지': 10, '김동연': 2, '정리': 2, '윤씨': 2, '반등': 4, '격침': 2, '공산당': 2, '찬티': 26, '매도': 16, '의견': 2, '사망': 2}"
이재명,웹케시,"{'지배구조': 3, '청원': 2, '금지': 2, '주식': 11, '배당': 5, '여론': 2, '매수': 2, '오프닝': 2, '주가': 4, '주주': 5, '존나': 2, '이유': 4, '쓰레기': 3, '가입': 2, '요청': 3, '왜': 2, '하락': 3, '관련': 2, '분할': 4, '배당금': 3, '답변': 2, '무조건': 3, '투자자': 2, '국민': 2, '각성': 2, '형성': 2, '취소': 2, '장투': 2, '속도': 2, '호구': 5, '계좌': 2, '결제': 2, '참여': 2, '회사': 2, '얼마나': 2, '동의': 2, '실적': 2, '머리': 5, '물': 3, '보고서': 2, '언제': 2, '거래': 2, '클라우드': 5, '회원': 2, '시장': 2, '그룹': 4, '기업': 5, '수익': 9, '리딩': 3, '일지': 2}"
이재명,이스타코,"{'안희정': 2, '요약': 2, '이재명': 139, '공매도': 5, '폐지': 5, '폐쇄': 2, '금지': 2, '사퇴': 17, '윤석렬': 5, '적폐': 2, '노무현': 2, '원전': 6, '종료': 2, '윤석금': 2, '삭제': 16, '깃값': 2, '하락': 21, '부정부패': 2, '김대중': 2, '논란': 3, '원자력': 2, '원세훈': 2, '도대체': 3, '자제': 4, '폭로': 3, '폭락': 7, '국정원장': 2, '탄핵': 5, '종목': 49, '개입': 3, '도입': 3, '출연': 2, '참여정부': 3, '결론': 5, '출마': 7, '정리': 2, '싱크홀': 2, '정신차려라': 2, '신현확': 4, '수용': 2, '종결': 2, '표심': 3, '정지': 3, '노랭이들': 4, '동전주': 25, '술값': 2, '답글': 12, '외압': 3, '탄식': 2, '격리': 4}"
