Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name
2000-10-19,3240011.75,3240011.75,3240011.75,3240011.75,3239783.0,0,042940,상지건설
2000-10-20,3627013.0,3627013.0,3627013.0,3627013.0,3626757.0,78,042940,상지건설
2000-10-23,4059014.5,4059014.5,4059014.5,4059014.5,4058728.0,2338,042940,상지건설
2000-10-24,4545016.5,4545016.5,4545016.5,4545016.5,4544695.5,1331,042940,상지건설
2000-10-25,5085018.5,5085018.5,5085018.5,5085018.5,5084659.0,177,042940,상지건설
2000-10-26,5688020.5,5688020.5,5688020.5,5688020.5,5687618.5,53,042940,상지건설
2000-10-27,6363023.0,6363023.0,6363023.0,6363023.0,6362573.5,2018,042940,상지건설
2000-10-30,5607020.0,5607020.0,5607020.0,5607020.0,5606624.0,2138,042940,상지건설
2000-10-31,4941018.0,4941018.0,4941018.0,4941018.0,4940669.0,1563,042940,상지건설
2000-11-01,4356015.5,4356015.5,4356015.5,4356015.5,4355708.0,5344,042940,상지건설
2000-11-02,4311015.5,4311015.5,4311015.5,4311015.5,4310711.0,5875,042940,상지건설
2000-11-03,4113014.75,4113014.75,4113014.75,4113014.75,4112724.25,2908,042940,상지건설
2000-11-06,4599016.5,4599016.5,4599016.5,4599016.5,4598691.5,3077,042940,상지건설
2000-11-07,4086014.75,4086014.75,4086014.75,4086014.75,4085726.0,2889,042940,상지건설
2000-11-08,3699013.25,3699013.25,3699013.25,3699013.25,3698752.0,2289,042940,상지건설
2000-11-09,3879014.0,3879014.0,3879014.0,3879014.0,3878740.0,2299,042940,상지건설
2000-11-10,3681013.25,3681013.25,3681013.25,3681013.25,3680753.25,1892,042940,상지건설
2000-11-13,3366012.0,3366012.0,3366012.0,3366012.0,3365774.5,1122,042940,상지건설
2000-11-14,3762013.5,3762013.5,3762013.5,3762013.5,3761747.75,702,042940,상지건설
2000-11-15,4212015.0,4212015.0,4212015.0,4212015.0,4211717.5,944,042940,상지건설
2000-11-16,3978014.25,3978014.25,3978014.25,3978014.25,3977733.5,3894,042940,상지건설
2000-11-17,4410016.0,4410016.0,4410016.0,4410016.0,4409704.5,3361,042940,상지건설
2000-11-20,3888014.0,3888014.0,3888014.0,3888014.0,3887739.5,6713,042940,상지건설
2000-11-21,3780013.5,3780013.5,3780013.5,3780013.5,3779746.5,2842,042940,상지건설
2000-11-22,3519012.75,3519012.75,3519012.75,3519012.75,3518764.25,1887,042940,상지건설
2000-11-23,3330012.0,3330012.0,3330012.0,3330012.0,3329776.75,2263,042940,상지건설
2000-11-24,3321012.0,3321012.0,3321012.0,3321012.0,3320777.5,1600,042940,상지건설
2000-11-27,3591013.0,3591013.0,3591013.0,3591013.0,3590759.5,2360,042940,상지건설
2000-11-28,3195011.5,3195011.5,3195011.5,3195011.5,3194785.75,1438,042940,상지건설
2000-11-29,2817010.25,2817010.25,2817010.25,2817010.25,2816811.25,1192,042940,상지건설
2000-11-30,2520009.0,2520009.0,2520009.0,2520009.0,2519831.0,1812,042940,상지건설
2000-12-01,2817010.25,2817010.25,2817010.25,2817010.25,2816811.25,3014,042940,상지건설
2000-12-04,2592009.25,2592009.25,2592009.25,2592009.25,2591826.0,2593,042940,상지건설
2000-12-05,2682009.75,2682009.75,2682009.75,2682009.75,2681820.25,2085,042940,상지건설
