Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Name
2001-10-19,19541.3515625,19541.3515625,19541.3515625,19541.3515625,14519.490234375,342289,052400,코나아이
2001-10-22,21860.80078125,21860.80078125,21860.80078125,21860.80078125,16242.875,10669,052400,코나아이
2001-10-23,24470.1796875,24470.1796875,24470.1796875,24470.1796875,18181.6796875,38073,052400,코나아이
2001-10-24,22672.607421875,22672.607421875,22672.607421875,22672.607421875,16846.0546875,943382,052400,코나아이
2001-10-25,23194.484375,23194.484375,23194.484375,23194.484375,17233.818359375,332118,052400,코나아이
2001-10-26,25977.822265625,25977.822265625,25977.822265625,25977.822265625,19301.876953125,757738,052400,코나아이
2001-10-29,26093.794921875,26093.794921875,26093.794921875,26093.794921875,19388.046875,600723,052400,코나아이
2001-10-30,24470.1796875,24470.1796875,24470.1796875,24470.1796875,18181.6796875,259864,052400,코나아이
2001-10-31,24528.166015625,24528.166015625,24528.166015625,24528.166015625,18224.763671875,210007,052400,코나아이
2001-11-01,23774.345703125,23774.345703125,23774.345703125,23774.345703125,17664.666015625,152961,052400,코나아이
2001-11-02,22788.580078125,22788.580078125,22788.580078125,22788.580078125,16932.224609375,150562,052400,코나아이
2001-11-05,22324.69140625,22324.69140625,22324.69140625,22324.69140625,16587.548828125,106396,052400,코나아이
2001-11-06,23832.33203125,23832.33203125,23832.33203125,23832.33203125,17707.74609375,261647,052400,코나아이
2001-11-07,22498.6484375,22498.6484375,22498.6484375,22498.6484375,16716.802734375,97978,052400,코나아이
2001-11-08,23629.380859375,23629.380859375,23629.380859375,23629.380859375,17556.951171875,189179,052400,코나아이
2001-11-09,24354.20703125,24354.20703125,24354.20703125,24354.20703125,18095.509765625,358423,052400,코나아이
2001-11-12,27253.517578125,27253.517578125,27253.517578125,27253.517578125,20249.736328125,452597,052400,코나아이
2001-11-13,27804.38671875,27804.38671875,27804.38671875,27804.38671875,20659.0390625,624900,052400,코나아이
2001-11-14,27717.408203125,27717.408203125,27717.408203125,27717.408203125,20594.412109375,199904,052400,코나아이
2001-11-15,28993.10546875,28993.10546875,28993.10546875,28993.10546875,21542.275390625,449783,052400,코나아이
2001-11-16,28065.32421875,28065.32421875,28065.32421875,28065.32421875,20852.91796875,180471,052400,코나아이
2001-11-19,27688.4140625,27688.4140625,27688.4140625,27688.4140625,20572.8671875,143902,052400,코나아이
2001-11-20,26818.62109375,26818.62109375,26818.62109375,26818.62109375,19926.599609375,189752,052400,코나아이
2001-11-21,26499.697265625,26499.697265625,26499.697265625,26499.697265625,19689.638671875,172379,052400,코나아이
2001-11-22,27949.353515625,27949.353515625,27949.353515625,27949.353515625,20766.75,224797,052400,코나아이
2001-11-23,28239.283203125,28239.283203125,28239.283203125,28239.283203125,20982.173828125,238186,052400,코나아이
2001-11-26,28123.310546875,28123.310546875,28123.310546875,28123.310546875,20896.001953125,131223,052400,코나아이
2001-11-27,29341.021484375,29341.021484375,29341.021484375,29341.021484375,21800.779296875,234547,052400,코나아이
2001-11-28,26905.6015625,26905.6015625,26905.6015625,26905.6015625,19991.228515625,113812,052400,코나아이
2001-11-29,27891.3671875,27891.3671875,27891.3671875,27891.3671875,20723.666015625,76907,052400,코나아이
2001-11-30,27891.3671875,27891.3671875,27891.3671875,27891.3671875,20723.666015625,123231,052400,코나아이
2001-12-03,27949.353515625,27949.353515625,27949.353515625,27949.353515625,20766.75,102459,052400,코나아이
2001-12-04,26963.587890625,26963.587890625,26963.587890625,26963.587890625,20034.314453125,85476,052400,코나아이
2001-12-05,26267.751953125,26267.751953125,26267.751953125,26267.751953125,19517.294921875,114738,052400,코나아이
